11/17/17 15:47:11:807 | [INFO] | 758 | ASU | LWANative | LWANative |  |  | 23877 | Build Version - 10.0.0.163
11/17/17 15:47:11:808 | [INFO] | 758 | ASU | LWANative | LWANative |  |  | 23877 | Logging Level verbosity Set  to 4
11/17/17 15:47:16:252 | [INFO] | 758 | ASU | LWANative | P7Native |  |  | 23877 | Start : pwa_openSession
11/17/17 15:47:16:252 | [INFO] | 758 | ASU | LWANative | P7Native |  |  | 23877 | pwa_openSession Session key : D76CAFC9-D1C9-496F-AF49-86EFC340193E
11/17/17 15:47:17:528 | [INFO] |  | ASU | OPM | OPM |  |  | 23877 | Build Version - 10.0.0.130
11/17/17 15:47:17:528 | [INFO] |  | ASU | OPM | OPM |  |  | 23877 | Logging Level verbosity Set  to 4
11/17/17 15:47:18:204 | [INFO] |  | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:18:204 | [INFO] |  | ASU | OPM | OPM |  |  | 23877 | No Record found for the input fields in opm_getValueForKey
11/17/17 15:47:19:184 | [INFO] | 758 | ASU | LWANative | P7Native |  |  | 23877 | End : pwa_openSession
11/17/17 15:47:19:207 | [INFO] | 758 | ASU | LWANative | P7Native |  |  | 23877 | Start : pwa_getDeviceID
11/17/17 15:47:19:240 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | Build Version - 10.0.0.163
11/17/17 15:47:19:240 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | Logging Level verbosity Set  to 4
11/17/17 15:47:19:425 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | Schema version and schema compatibility version are same or greater than current

11/17/17 15:47:19:477 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:19:477 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | No Record found for the input fields in opm_getValueForKey
11/17/17 15:47:19:477 | [WARN] | 758 | ASU | OPM | OPMWrapper |  |  | 23877 | Failed in getting value for key in OPMGetValueForKey
11/17/17 15:47:19:477 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | OOBELibSessionForDeviceID : DeviceId not present in local db generating it from scratch in pwa_getDeviceID
11/17/17 15:47:19:477 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | Start : generateDeviceID
11/17/17 15:47:19:501 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | End : generateDeviceID
11/17/17 15:47:19:501 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | End : pwa_getDeviceID
11/17/17 15:47:19:503 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | Start : pwa_getMachineHashedID
11/17/17 15:47:19:549 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | End : pwa_getMachineHashedID
